HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE
"LK-1389","EXPLORE",0,188,-80,"SET-UP"
"LK-1389","EXPLORE",68,188.6,-79.9,"SGL SHOT"
"LK-1389","EXPLORE",116,190.4,-79.9,"SGL SHOT"
"LK-1389","EXPLORE",164,194.2,-80.2,"SGL SHOT"
"LK-1389","EXPLORE",212,191.8,-80.1,"SGL SHOT"
"LK-1403","EXPLORE",0,273.956,-90,"SET-UP"
"LK-1403","EXPLORE",40,273.9567,-89.4,"SGL SHOT"
"LK-1403","EXPLORE",76,309.8567,-89.9,"SGL SHOT"
"LK-1403","EXPLORE",112,320.3567,-89.4,"SGL SHOT"
"LK-1405","EXPLORE",0,180,-80,"SET-UP"
"LK-1411","EXPLORE",0,180,-80,"SET-UP"
"LK-1411","EXPLORE",88,177.6567,-81.5,"SGL SHOT"
"LK-1411","EXPLORE",148,177.1567,-82,"SGL SHOT"
"LK-1411","EXPLORE",208,178.5567,-82.7,"SGL SHOT"
"LK-1411","EXPLORE",268,176.8567,-83.2,"SGL SHOT"
"LK-1417","EXPLORE",0,104.056,-90,"SET-UP"
"LK-1417","EXPLORE",30,104.0567,-88.9,"SGL SHOT"
"LK-1417","EXPLORE",78,93.3567,-88.9,"SGL SHOT"
"LK-1417","EXPLORE",126,89.8567,-88.8,"SGL SHOT"
"LK-1417","EXPLORE",174,56.4567,-89.2,"SGL SHOT"
"LK-1420","EXPLORE",0,300,-90,"SET-UP"
"LK-1420","EXPLORE",52,301.1,-87,"SGL SHOT"
"LK-1420","EXPLORE",100,300.4,-87.2,"SGL SHOT"
"LK-1420","EXPLORE",148,304.7,-87.2,"SGL SHOT"
"LK-1420","EXPLORE",196,306.9,-87.3,"SGL SHOT"
"LK-1420","EXPLORE",244,324.9,-87.8,"SGL SHOT"
"LK-1421","EXPLORE",0,301.056,-90,"SET-UP"
"LK-1421","EXPLORE",56,301.056,-89.4,"SGL SHOT"
"LK-1421","EXPLORE",106,354.056,-89.5,"SGL SHOT"
"LK-1421","EXPLORE",156,151.156,-90,"SGL SHOT"
"LK-1421","EXPLORE",206,321.956,-89.6,"SGL SHOT"
"LK-1428","EXPLORE",0,0,-90,"SET-UP"
"LK-1429","EXPLORE",0,259,-90,"SET-UP"
"LK-1429","EXPLORE",22,259.7567,-89.7,"SGL SHOT"
"LK-1429","EXPLORE",70,276.8567,-89.8,"SGL SHOT"
"LK-1429","EXPLORE",118,23.4567,-89.9,"SGL SHOT"
"LK-1429","EXPLORE",166,9.3567,-89.8,"SGL SHOT"
"LK-1429","EXPLORE",214,52.8567,-89.9,"SGL SHOT"
"LK-1430","EXPLORE",0,180,-80,"SET-UP"
"LK-1430","EXPLORE",60,180.9,-79,"SGL SHOT"
"LK-1430","EXPLORE",108,179.4,-79,"SGL SHOT"
"LK-1430","EXPLORE",157,181.7,-79.2,"SGL SHOT"
"LK-1430","EXPLORE",253,183,-79.4,"SGL SHOT"
"LK-1432","EXPLORE",0,173.956,-90,"SET-UP"
"LK-1432","EXPLORE",55,173.9567,-79.3,"SGL SHOT"
"LK-1432","EXPLORE",91,177.2567,-78.9,"SGL SHOT"
"LK-1432","EXPLORE",151,181.2567,-78.8,"SGL SHOT"
"LK-1432","EXPLORE",211,182.3567,-78.9,"SGL SHOT"
"LK-1432","EXPLORE",271,185.7567,-79.7,"SGL SHOT"
"LK-1439","EXPLORE",0,180,-80,"SET-UP"
"LK-1439","EXPLORE",45,177.8567,-78.5,"SGL SHOT"
"LK-1439","EXPLORE",95,178.1567,-78.4,"SGL SHOT"
"LK-1439","EXPLORE",145,179.2567,-78.4,"SGL SHOT"
"LK-1439","EXPLORE",195,178.7567,-79.3,"SGL SHOT"
"LK-1440","EXPLORE",0,270,-80,"SET-UP"
"LK-1440","EXPLORE",70,273.6567,-78.9,"SGL SHOT"
"LK-1440","EXPLORE",94,273.5567,-79.6,"SGL SHOT"
"LK-1440","EXPLORE",142,272.3567,-79.3,"SGL SHOT"
"LK-1440","EXPLORE",190,274.2567,-78.9,"SGL SHOT"
"LK-1440","EXPLORE",238,276.1567,-79.2,"SGL SHOT"
